"region","scenario","Scen_Label","year","primary_consumption"
"China","Policy_NoDAC","Policy_NoDAC",2030,183.177354212181
"China","Policy_NoDAC","Policy_NoDAC",2035,189.776560359135
"China","Policy_NoDAC","Policy_NoDAC",2040,192.418899603145
"China","Policy_NoDAC","Policy_NoDAC",2045,192.041771325287
"China","Policy_NoDAC","Policy_NoDAC",2050,193.104412814864
"China","Policy_NoDAC","Policy_NoDAC",2055,205.615100036045
"China","Policy_NoDAC","Policy_NoDAC",2060,216.4173863782
"China","Policy_NoDAC","Policy_NoDAC",2065,213.654944093046
"China","Policy_NoDAC","Policy_NoDAC",2070,206.904924380978
"China","Policy_NoDAC","Policy_NoDAC",2075,198.765939028206
"China","Policy_NoDAC","Policy_NoDAC",2080,190.459092578113
"China","Policy_NoDAC","Policy_NoDAC",2085,184.350980825583
"China","Policy_NoDAC","Policy_NoDAC",2090,178.728370776739
"China","Policy_NoDAC","Policy_NoDAC",2095,169.536244682385
"China","Policy_NoDAC","Policy_NoDAC",2100,161.440154221073
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",1990,36.623082985445
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2005,80.1888195506782
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2010,112.049228742113
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2015,134.566104486051
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2020,151.965832679775
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2025,169.095663505212
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2030,182.933335234081
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2035,189.572923794678
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2040,192.440380634555
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2045,192.352384484804
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2050,193.513332412972
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2055,205.97481175183
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2060,216.622808904915
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2065,213.924485080948
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2070,207.080392620155
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2075,199.024052980655
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2080,190.554857862418
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2085,184.334933671618
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2090,178.716220664253
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2095,169.262177650432
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2100,161.35929267054
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",1990,36.623082985445
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2005,80.1888195506782
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2010,112.049228742113
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2015,134.566104486051
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2020,151.968300894397
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2025,169.104607002428
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2030,182.94867432527
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2035,189.595743094298
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2040,192.47775531776
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2045,192.469012317167
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2050,193.779540649931
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2055,206.418490464444
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2060,217.43501211966
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2065,214.572393634026
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2070,207.841413819098
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2075,199.837208781745
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2080,191.594930545585
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2085,185.620792075702
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2090,180.015060535899
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2095,170.583251233512
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2100,162.012787828217
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",1990,36.623082985445
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2005,80.1888195506782
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2010,112.049228742113
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2015,134.566104486051
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2020,151.963958712755
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2025,169.089640904962
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2030,182.9097334062
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2035,189.48584901426
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2040,192.239552159366
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2045,192.041899145203
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2050,193.215804856028
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2055,205.748778654564
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2060,216.504220674643
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2065,214.122700471476
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2070,207.388977554583
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2075,199.388741344853
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2080,191.102646323188
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2085,184.966414887636
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2090,179.390888351467
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2095,169.856622234936
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2100,161.576881990781
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",1990,36.623082985445
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2005,80.1888195506782
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2010,112.049228742113
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2015,134.566104486051
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2020,151.96001539242
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2025,169.087428654219
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2030,182.908588587992
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2035,189.507361097684
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2040,192.290527531946
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2045,192.112369005232
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2050,193.303971716382
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2055,205.76903181372
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2060,216.472447806797
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2065,213.829255158171
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2070,207.098052598202
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2075,198.8724509921
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2080,190.259258174387
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2085,184.19167973627
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2090,178.846924137252
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2095,169.623028782949
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2100,161.081988401515
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",1990,36.623082985445
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2005,80.1888195506782
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2010,112.049228742113
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2015,134.566104486051
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2020,151.970899352699
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2025,169.10471260317
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2030,182.937885263358
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2035,189.556358236966
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2040,192.379482991358
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2045,192.2866764073
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2050,193.502619922994
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2055,206.04844010477
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2060,216.910827700007
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2065,214.203747373833
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2070,207.478455072128
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2075,199.444966813017
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2080,191.146003252873
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2085,184.752892730806
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2090,179.409862084874
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2095,169.995006811988
"China","Policy_NoDAC_CI_NorESM","Policy_NoDAC_CI",2100,161.6321515202
"China","Reference","Reference",1990,36.623082985445
"China","Reference","Reference",2005,80.1888195506782
"China","Reference","Reference",2010,112.049228742113
"China","Reference","Reference",2015,134.566104486051
"China","Reference","Reference",2020,152.400028771469
"China","Reference","Reference",2025,169.420967180661
"China","Reference","Reference",2030,183.250970764271
"China","Reference","Reference",2035,190.878157479227
"China","Reference","Reference",2040,195.145882766022
"China","Reference","Reference",2045,196.755821543063
"China","Reference","Reference",2050,195.42547054551
"China","Reference","Reference",2055,192.253543646325
"China","Reference","Reference",2060,187.547802587117
"China","Reference","Reference",2065,182.06829492436
"China","Reference","Reference",2070,176.174486902443
"China","Reference","Reference",2075,169.600442797621
"China","Reference","Reference",2080,162.408482840993
"China","Reference","Reference",2085,155.739185302348
"China","Reference","Reference",2090,149.879392526679
"China","Reference","Reference",2095,144.830611536568
"China","Reference","Reference",2100,140.64041642053
"China","Reference_CI_GFDL","Reference_CI",1990,36.623082985445
"China","Reference_CI_GFDL","Reference_CI",2005,80.1888195506782
"China","Reference_CI_GFDL","Reference_CI",2010,112.049228742113
"China","Reference_CI_GFDL","Reference_CI",2015,134.566104486051
"China","Reference_CI_GFDL","Reference_CI",2020,151.94692003685
"China","Reference_CI_GFDL","Reference_CI",2025,169.068306260663
"China","Reference_CI_GFDL","Reference_CI",2030,182.99424529827
"China","Reference_CI_GFDL","Reference_CI",2035,190.423534779895
"China","Reference_CI_GFDL","Reference_CI",2040,195.121179851665
"China","Reference_CI_GFDL","Reference_CI",2045,197.043102847421
"China","Reference_CI_GFDL","Reference_CI",2050,195.960934556369
"China","Reference_CI_GFDL","Reference_CI",2055,192.943147851656
"China","Reference_CI_GFDL","Reference_CI",2060,188.42545806199
"China","Reference_CI_GFDL","Reference_CI",2065,183.132225289183
"China","Reference_CI_GFDL","Reference_CI",2070,177.277723083603
"China","Reference_CI_GFDL","Reference_CI",2075,170.753153597378
"China","Reference_CI_GFDL","Reference_CI",2080,163.326902541308
"China","Reference_CI_GFDL","Reference_CI",2085,156.663983804126
"China","Reference_CI_GFDL","Reference_CI",2090,150.773119458835
"China","Reference_CI_GFDL","Reference_CI",2095,145.607972238927
"China","Reference_CI_GFDL","Reference_CI",2100,141.059906867403
"China","Reference_CI_HadGEM","Reference_CI",1990,36.623082985445
"China","Reference_CI_HadGEM","Reference_CI",2005,80.1888195506782
"China","Reference_CI_HadGEM","Reference_CI",2010,112.049228742113
"China","Reference_CI_HadGEM","Reference_CI",2015,134.566104486051
"China","Reference_CI_HadGEM","Reference_CI",2020,151.966210233111
"China","Reference_CI_HadGEM","Reference_CI",2025,169.083382750232
"China","Reference_CI_HadGEM","Reference_CI",2030,182.991407980071
"China","Reference_CI_HadGEM","Reference_CI",2035,190.413448078614
"China","Reference_CI_HadGEM","Reference_CI",2040,195.082809994815
"China","Reference_CI_HadGEM","Reference_CI",2045,196.960376118837
"China","Reference_CI_HadGEM","Reference_CI",2050,195.808801475077
"China","Reference_CI_HadGEM","Reference_CI",2055,192.72735194616
"China","Reference_CI_HadGEM","Reference_CI",2060,188.137593473399
"China","Reference_CI_HadGEM","Reference_CI",2065,182.765292929779
"China","Reference_CI_HadGEM","Reference_CI",2070,176.829175544506
"China","Reference_CI_HadGEM","Reference_CI",2075,170.233051273515
"China","Reference_CI_HadGEM","Reference_CI",2080,162.675021627652
"China","Reference_CI_HadGEM","Reference_CI",2085,156.01256132708
"China","Reference_CI_HadGEM","Reference_CI",2090,150.167374621662
"China","Reference_CI_HadGEM","Reference_CI",2095,145.114256753952
"China","Reference_CI_HadGEM","Reference_CI",2100,140.589924601989
"China","Reference_CI_IPSL","Reference_CI",1990,36.623082985445
"China","Reference_CI_IPSL","Reference_CI",2005,80.1888195506782
"China","Reference_CI_IPSL","Reference_CI",2010,112.049228742113
"China","Reference_CI_IPSL","Reference_CI",2015,134.566104486051
"China","Reference_CI_IPSL","Reference_CI",2020,151.972738390312
"China","Reference_CI_IPSL","Reference_CI",2025,169.088537735354
"China","Reference_CI_IPSL","Reference_CI",2030,183.010200554268
"China","Reference_CI_IPSL","Reference_CI",2035,190.455888897024
"China","Reference_CI_IPSL","Reference_CI",2040,195.133123044041
"China","Reference_CI_IPSL","Reference_CI",2045,197.020576325932
"China","Reference_CI_IPSL","Reference_CI",2050,195.865204936016
"China","Reference_CI_IPSL","Reference_CI",2055,192.775639458885
"China","Reference_CI_IPSL","Reference_CI",2060,188.156324186277
"China","Reference_CI_IPSL","Reference_CI",2065,182.752067119612
"China","Reference_CI_IPSL","Reference_CI",2070,176.812991238424
"China","Reference_CI_IPSL","Reference_CI",2075,170.163901863456
"China","Reference_CI_IPSL","Reference_CI",2080,162.585837145206
"China","Reference_CI_IPSL","Reference_CI",2085,155.872800962245
"China","Reference_CI_IPSL","Reference_CI",2090,150.035747372139
"China","Reference_CI_IPSL","Reference_CI",2095,144.959858626187
"China","Reference_CI_IPSL","Reference_CI",2100,140.382370435049
"China","Reference_CI_MIROC","Reference_CI",1990,36.623082985445
"China","Reference_CI_MIROC","Reference_CI",2005,80.1888195506782
"China","Reference_CI_MIROC","Reference_CI",2010,112.049228742113
"China","Reference_CI_MIROC","Reference_CI",2015,134.566104486051
"China","Reference_CI_MIROC","Reference_CI",2020,151.981201086441
"China","Reference_CI_MIROC","Reference_CI",2025,169.104684963416
"China","Reference_CI_MIROC","Reference_CI",2030,183.032747212436
"China","Reference_CI_MIROC","Reference_CI",2035,190.513679288351
"China","Reference_CI_MIROC","Reference_CI",2040,195.184199850324
"China","Reference_CI_MIROC","Reference_CI",2045,197.037736100875
"China","Reference_CI_MIROC","Reference_CI",2050,195.876608152504
"China","Reference_CI_MIROC","Reference_CI",2055,192.77732265786
"China","Reference_CI_MIROC","Reference_CI",2060,188.124224015361
"China","Reference_CI_MIROC","Reference_CI",2065,182.698706647473
"China","Reference_CI_MIROC","Reference_CI",2070,176.758299216778
"China","Reference_CI_MIROC","Reference_CI",2075,170.079681835204
"China","Reference_CI_MIROC","Reference_CI",2080,162.511739642034
"China","Reference_CI_MIROC","Reference_CI",2085,155.814324790884
"China","Reference_CI_MIROC","Reference_CI",2090,149.998771677781
"China","Reference_CI_MIROC","Reference_CI",2095,144.937346471906
"China","Reference_CI_MIROC","Reference_CI",2100,140.338379673466
"China","Reference_CI_NorESM","Reference_CI",1990,36.623082985445
"China","Reference_CI_NorESM","Reference_CI",2005,80.1888195506782
"China","Reference_CI_NorESM","Reference_CI",2010,112.049228742113
"China","Reference_CI_NorESM","Reference_CI",2015,134.566104486051
"China","Reference_CI_NorESM","Reference_CI",2020,151.966083829213
"China","Reference_CI_NorESM","Reference_CI",2025,169.08048425757
"China","Reference_CI_NorESM","Reference_CI",2030,182.995182729999
"China","Reference_CI_NorESM","Reference_CI",2035,190.434009853294
"China","Reference_CI_NorESM","Reference_CI",2040,195.113059971624
"China","Reference_CI_NorESM","Reference_CI",2045,196.999436895638
"China","Reference_CI_NorESM","Reference_CI",2050,195.902312629401
"China","Reference_CI_NorESM","Reference_CI",2055,192.868142767995
"China","Reference_CI_NorESM","Reference_CI",2060,188.280743021465
"China","Reference_CI_NorESM","Reference_CI",2065,182.983387688757
"China","Reference_CI_NorESM","Reference_CI",2070,177.108087366754
"China","Reference_CI_NorESM","Reference_CI",2075,170.559184522456
"China","Reference_CI_NorESM","Reference_CI",2080,163.023873684845
"China","Reference_CI_NorESM","Reference_CI",2085,156.410815446049
"China","Reference_CI_NorESM","Reference_CI",2090,150.546868292341
"China","Reference_CI_NorESM","Reference_CI",2095,145.469867977528
"China","Reference_CI_NorESM","Reference_CI",2100,140.998949115144
"Global","Policy","Policy",1990,382.192453438893
"Global","Policy","Policy",2005,497.562874960291
"Global","Policy","Policy",2010,555.187658105917
"Global","Policy","Policy",2015,597.357312778762
"Global","Policy","Policy",2020,618.724726266361
"Global","Policy","Policy",2025,684.803284453451
"Global","Policy","Policy",2030,744.20759402798
"Global","Policy","Policy",2035,790.365694584423
"Global","Policy","Policy",2040,842.571894221756
"Global","Policy","Policy",2045,901.44585458223
"Global","Policy","Policy",2050,969.427453994391
"Global","Policy","Policy",2055,1027.46574838489
"Global","Policy","Policy",2060,1086.96280768798
"Global","Policy","Policy",2065,1133.27936202132
"Global","Policy","Policy",2070,1180.36570451241
"Global","Policy","Policy",2075,1222.3149842882
"Global","Policy","Policy",2080,1258.46201848359
"Global","Policy","Policy",2085,1286.59302021882
"Global","Policy","Policy",2090,1309.81132522556
"Global","Policy","Policy",2095,1320.87989172855
"Global","Policy","Policy",2100,1331.50892132325
"Global","Policy_CI_GFDL","Policy_CI",1990,382.192453438893
"Global","Policy_CI_GFDL","Policy_CI",2005,497.562874960291
"Global","Policy_CI_GFDL","Policy_CI",2010,555.187658105917
"Global","Policy_CI_GFDL","Policy_CI",2015,597.357312778762
"Global","Policy_CI_GFDL","Policy_CI",2020,618.44645711752
"Global","Policy_CI_GFDL","Policy_CI",2025,684.559288042978
"Global","Policy_CI_GFDL","Policy_CI",2030,743.842706344423
"Global","Policy_CI_GFDL","Policy_CI",2035,790.259432896637
"Global","Policy_CI_GFDL","Policy_CI",2040,842.996407488476
"Global","Policy_CI_GFDL","Policy_CI",2045,902.322603554736
"Global","Policy_CI_GFDL","Policy_CI",2050,970.581151110509
"Global","Policy_CI_GFDL","Policy_CI",2055,1028.62035916222
"Global","Policy_CI_GFDL","Policy_CI",2060,1087.47955727478
