region,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa_Eastern,339.4753607035278,510.1832354540825,637.8036275519366,737.6469717354593,565.1343355373853,601.6991109170405,745.870300013385,808.6200971079992,900.4705741141881,1031.125027331782,1164.751238641711,1306.008884044017,1444.6481982600367,1597.8883432921525,1745.5861254486372,1888.7199628384271,2018.3961434427492,2148.640592214424,2254.8488924454373,2361.710044149819,2453.517820048652
Africa_Northern,282.3731961989444,688.2588646832073,752.3934550536339,762.4249638552525,780.3784843542247,764.5474258563959,834.9270612428862,871.3575297122175,899.9090858082175,922.8663459278822,930.8164103643143,914.0793733745437,880.1737989681986,851.7691037298933,822.7597527800743,788.6196059130316,749.8349309981853,708.1873675700283,666.7078680338489,626.1499841408212,588.7852290776445
Africa_Southern,292.15241822049154,371.9033270482254,549.884267999736,820.2422435894466,429.57196989431986,339.3157903840772,352.44686738054895,382.38243846990053,417.5007779367651,460.0809349837268,514.7490368527832,589.5045166062868,661.4393825500196,735.5479401058758,797.2432387790066,862.1163839212252,922.791140046186,983.1538160723841,1043.1135714386094,1099.499699391873,1126.0176177609405
Africa_Western,691.5643081643143,1297.1881296482868,1152.65182599856,1437.8670632632159,1029.4598709792242,754.0541717870207,752.459838600615,862.8837332855544,1006.3467499346827,1144.9756875824762,1290.51708551642,1528.2091662943565,1658.3202421795343,1773.0694060413323,1860.057794483565,1955.7120931686684,2027.7201532712197,2103.2805333342644,2144.9507377723166,2214.9249824352787,2233.182005379049
Argentina,225.88020821710631,507.8892595004088,536.0255141109989,597.1864739175369,383.5833325048276,389.27237549825236,433.76552456654576,431.99244346053405,441.86204268356187,454.979812668903,449.01260475579596,452.01674843236503,451.57001989002526,448.3971013431219,441.58722679993826,434.8669002385636,427.7669420624586,418.7049749523088,407.44617386561225,394.0721223080345,383.950112913
Australia_NZ,476.9267482415021,648.9233461697594,723.5194934426111,641.7744395021206,448.3848375815759,497.88064467557246,551.0100795140153,539.0560686810655,532.4766709993604,525.2460986949819,508.2475548751813,495.2044229562786,471.4619762022163,443.4556750359706,413.8631533318595,402.58849460976325,391.579983363876,379.5600820789796,363.9822745301119,350.3271186088801,338.42355611837326
Brazil,1427.142075148568,1492.4350135526615,1619.715471248304,2034.893236477996,1120.4882761393071,865.5782819632096,1025.640846922488,994.0880191463866,1190.4896985314117,1293.0028261482526,1181.7479456073024,1009.9887222672727,952.5919397622788,913.7272413019901,886.4785685448271,882.7730515070015,887.8805302347373,895.7521392119754,886.5775194947889,866.9423085452177,842.3570440467091
Canada,885.8831628503984,1011.3392371396052,790.4465843667826,878.2024384920317,673.915051405981,515.8540314006217,692.70516633193,599.2982494794858,603.4503633811222,572.9828789088153,545.884476610981,523.8590005447069,489.0130972224566,455.4291417813123,417.16575340087263,390.8420252605319,372.50967580798323,352.5616279191126,333.3554098732562,314.66489069386006,301.5369561258673
Central America and Caribbean,359.15909274051035,370.3782920819198,343.1748735451301,350.88987261868743,333.86589428938254,368.3481399049894,353.2441363299508,372.83547121837756,385.4734907598544,399.8565519132671,409.5954864712723,420.30105102479035,423.25382281178133,427.74095453232974,430.32664743557984,432.2356867319703,432.8830736801671,428.6791739445042,420.04992698100693,408.06222379918916,393.6295423237957
Central Asia,798.3770743480535,586.1615294095909,811.9975438597329,831.3649658804826,799.2528217949423,665.606571113772,713.5769365229908,707.7020522538191,681.5068323375701,646.0967692671841,600.4028220939665,552.5968035638879,503.7571064918941,459.53303723844,420.7729330843195,391.42731818727856,368.069493134921,341.73195312460194,316.4978046878031,294.61192024305234,277.2096967358521
China,4787.728313018939,8336.284308896551,11531.668869541887,13197.277410839662,14589.352033683712,15769.548277436259,16035.596551827806,15039.12680453814,13876.537211870693,12705.974171555883,11374.300656520192,10015.043267238701,8741.56556653229,7591.656242018368,6573.789961500713,5669.42358933979,4898.000269134036,4216.7913394613815,3621.621637533635,3158.2847405904627,2775.8368134095253
Colombia,150.44936329047903,142.85423643142664,164.57510113731104,232.9196520260486,186.61335527652886,222.49872742480107,252.34685012184036,253.06386258042912,267.49708100057944,274.1717495456342,282.7959984864071,285.6953072811209,286.0199488582938,284.0443391443349,282.0245941933073,279.39670779700236,274.34149844233553,269.03389101672167,261.5895802350264,253.4111989595462,247.62020690876858
EU-12,1260.9081425654151,858.5134393061355,832.3689904884819,799.0963504547542,644.3572732854311,612.574709859406,601.6054967819715,545.1795977515518,508.87762724367167,489.656332452537,460.7545613611242,420.5635272528324,378.5142097892218,340.1347322846908,301.5928611049748,276.8851502252842,258.7295369017292,242.88807089567482,226.6441888728283,211.06000717013586,195.54014954139274
EU-15,4219.706915482164,4220.504822646494,3782.4675227529983,3493.88562341462,2758.306226265069,2614.327715119009,2426.038713092633,2233.2304637135994,2059.553891050169,1901.9261600730172,1746.8920497638264,1611.6232769191276,1487.4578233794666,1372.2327711798803,1258.2612562247114,1177.9886107458387,1108.2427583597814,1039.5167874168844,973.9815172071244,914.3965455963884,861.6180959493619
Europe_Eastern,1120.3531924746217,447.5608962656328,437.5512699972726,388.53645847573233,404.39239771648744,348.97989265523347,354.75798849501973,373.0899242051657,382.26345284302266,389.21887266681983,386.2520525431335,387.1774138460679,382.8789023096471,373.4180392450408,355.1104987334995,318.0735450769718,304.1383158362004,281.9459543612426,259.4927630810705,239.49290517499867,224.70798016794447
