"region","scenario","output","subsector","technology","year","gen"
"Taiwan","Reference","electricity","refined liquids","refined liquids cogen","2015",0.00400518
"Taiwan","Reference","elect_td_bld","rooftop_pv","rooftop_pv","2015",0
"Taiwan","Reference","electricity","solar","CSP","2015",0
"Taiwan","Reference","electricity","solar","CSP_storage","2015",0
"Taiwan","Reference","electricity","solar","PV","2015",0.00315329
"Taiwan","Reference","electricity","solar","PV_storage","2015",0
"Taiwan","Reference","electricity","wind","wind","2015",0.00548945
"Taiwan","Reference","electricity","wind","wind_offshore","2015",0
"Taiwan","Reference","electricity","wind","wind_storage","2015",0
"China","Reference","electricity","biomass","biomass (IGCC CCS)","2020",0
"China","Reference","electricity","biomass","biomass (IGCC)","2020",0
"China","Reference","electricity","biomass","biomass (conv CCS)","2020",0
"China","Reference","electricity","biomass","biomass (conv)","2020",0.19022
"China","Reference","electricity","coal","coal (IGCC CCS)","2020",0
"China","Reference","electricity","coal","coal (IGCC)","2020",0
"China","Reference","electricity","coal","coal (conv pul CCS)","2020",0
"China","Reference","electricity","coal","coal (conv pul)","2020",16.648
"China","Reference","electricity","gas","gas (CC CCS)","2020",0
"China","Reference","electricity","gas","gas (CC)","2020",0.17778
"China","Reference","electricity","gas","gas (steam/CT)","2020",0.364749
"China","Reference","electricity","gas","gas cogen","2020",0.000615401
"China","Reference","electricity","geothermal","geothermal","2020",0.0569
"China","Reference","electricity","hydro","hydro","2020",4.01308
"China","Reference","electricity","hydrogen","hydrogen cogen","2020",0.00133146
"China","Reference","electricity","nuclear","Gen_III","2020",0.35158
"China","Reference","electricity","nuclear","Gen_II_LWR","2020",0.568198
"China","Reference","electricity","refined liquids","refined liquids (CC CCS)","2020",0
"China","Reference","electricity","refined liquids","refined liquids (CC)","2020",0.00456876
"China","Reference","electricity","refined liquids","refined liquids (steam/CT)","2020",0.0158802
"China","Reference","elect_td_bld","rooftop_pv","rooftop_pv","2020",0.0584256
"China","Reference","electricity","solar","CSP","2020",0.000186255
"China","Reference","electricity","solar","CSP_storage","2020",0
"China","Reference","electricity","solar","PV","2020",0.336902
"China","Reference","electricity","solar","PV_storage","2020",0.000107346
"China","Reference","electricity","wind","wind","2020",1.038733
"China","Reference","electricity","wind","wind_offshore","2020",0.000916341
"China","Reference","electricity","wind","wind_storage","2020",0.000670323
"Taiwan","Reference","electricity","biomass","biomass (IGCC CCS)","2020",0
"Taiwan","Reference","electricity","biomass","biomass (IGCC)","2020",0
"Taiwan","Reference","electricity","biomass","biomass (conv CCS)","2020",0
"Taiwan","Reference","electricity","biomass","biomass (conv)","2020",0.0160799
"Taiwan","Reference","electricity","coal","coal (IGCC CCS)","2020",0
"Taiwan","Reference","electricity","coal","coal (IGCC)","2020",0
"Taiwan","Reference","electricity","coal","coal (conv pul CCS)","2020",0
"Taiwan","Reference","electricity","coal","coal (conv pul)","2020",0.488654
"Taiwan","Reference","electricity","coal","coal cogen","2020",0.0682596
"Taiwan","Reference","electricity","gas","gas (CC CCS)","2020",0
"Taiwan","Reference","electricity","gas","gas (CC)","2020",0.356051
"Taiwan","Reference","electricity","gas","gas (steam/CT)","2020",0.0538853
"Taiwan","Reference","electricity","gas","gas cogen","2020",0.00114717
"Taiwan","Reference","electricity","geothermal","geothermal","2020",0.00251444
"Taiwan","Reference","electricity","hydro","hydro","2020",0.0168527
"Taiwan","Reference","electricity","hydrogen","hydrogen cogen","2020",1.60737e-05
"Taiwan","Reference","electricity","nuclear","Gen_III","2020",0.0041467
"Taiwan","Reference","electricity","nuclear","Gen_II_LWR","2020",0.121324
"Taiwan","Reference","electricity","refined liquids","refined liquids (CC CCS)","2020",0
"Taiwan","Reference","electricity","refined liquids","refined liquids (CC)","2020",0.00751038
"Taiwan","Reference","electricity","refined liquids","refined liquids (steam/CT)","2020",0.0284466
"Taiwan","Reference","electricity","refined liquids","refined liquids cogen","2020",0.00267744
"Taiwan","Reference","elect_td_bld","rooftop_pv","rooftop_pv","2020",0.00062874
"Taiwan","Reference","electricity","solar","CSP","2020",3.91913e-05
"Taiwan","Reference","electricity","solar","CSP_storage","2020",0
"Taiwan","Reference","electricity","solar","PV","2020",0.01106133
"Taiwan","Reference","electricity","solar","PV_storage","2020",4.82761e-06
"Taiwan","Reference","electricity","wind","wind","2020",0.01970785
"Taiwan","Reference","electricity","wind","wind_offshore","2020",6.42237e-05
"Taiwan","Reference","electricity","wind","wind_storage","2020",2.3242e-05
"China","Reference","electricity","biomass","biomass (IGCC CCS)","2025",0.00124256
"China","Reference","electricity","biomass","biomass (IGCC)","2025",0.0152706
"China","Reference","electricity","biomass","biomass (conv CCS)","2025",0.00156598
"China","Reference","electricity","biomass","biomass (conv)","2025",0.21972
"China","Reference","electricity","coal","coal (IGCC CCS)","2025",0.0092022
"China","Reference","electricity","coal","coal (IGCC)","2025",0.620218
"China","Reference","electricity","coal","coal (conv pul CCS)","2025",0.0184211
"China","Reference","electricity","coal","coal (conv pul)","2025",17.9951
"China","Reference","electricity","gas","gas (CC CCS)","2025",0.0286506
"China","Reference","electricity","gas","gas (CC)","2025",0.238141
"China","Reference","electricity","gas","gas (steam/CT)","2025",0.346628
"China","Reference","electricity","gas","gas cogen","2025",0.000633579
"China","Reference","electricity","geothermal","geothermal","2025",0.113031
"China","Reference","electricity","hydro","hydro","2025",4.01308
"China","Reference","electricity","hydrogen","hydrogen cogen","2025",0.00314287
"China","Reference","electricity","nuclear","Gen_III","2025",0.834379
"China","Reference","electricity","nuclear","Gen_II_LWR","2025",0.541548
"China","Reference","electricity","refined liquids","refined liquids (CC CCS)","2025",0.00566359
"China","Reference","electricity","refined liquids","refined liquids (CC)","2025",0.00391983
"China","Reference","electricity","refined liquids","refined liquids (steam/CT)","2025",0.0121372
"China","Reference","elect_td_bld","rooftop_pv","rooftop_pv","2025",0.543065
"China","Reference","electricity","solar","CSP","2025",0.0004039
"China","Reference","electricity","solar","CSP_storage","2025",0.00226061
"China","Reference","electricity","solar","PV","2025",0.884345
"China","Reference","electricity","solar","PV_storage","2025",0.00034098
"China","Reference","electricity","wind","wind","2025",1.690701
"China","Reference","electricity","wind","wind_offshore","2025",0.006147761
"China","Reference","electricity","wind","wind_storage","2025",0.002547943
"Taiwan","Reference","electricity","biomass","biomass (IGCC CCS)","2025",7.96006e-05
"Taiwan","Reference","electricity","biomass","biomass (IGCC)","2025",0.00123454
"Taiwan","Reference","electricity","biomass","biomass (conv CCS)","2025",8.66409e-05
"Taiwan","Reference","electricity","biomass","biomass (conv)","2025",0.0158153
"Taiwan","Reference","electricity","coal","coal (IGCC CCS)","2025",0.000221269
"Taiwan","Reference","electricity","coal","coal (IGCC)","2025",0.0201804
"Taiwan","Reference","electricity","coal","coal (conv pul CCS)","2025",0.000379727
"Taiwan","Reference","electricity","coal","coal (conv pul)","2025",0.538966
"Taiwan","Reference","electricity","coal","coal cogen","2025",0.0666857
"Taiwan","Reference","electricity","gas","gas (CC CCS)","2025",0.000992529
"Taiwan","Reference","electricity","gas","gas (CC)","2025",0.418622
"Taiwan","Reference","electricity","gas","gas (steam/CT)","2025",0.059707
"Taiwan","Reference","electricity","gas","gas cogen","2025",0.00121221
"Taiwan","Reference","electricity","geothermal","geothermal","2025",0.00309917
"Taiwan","Reference","electricity","hydro","hydro","2025",0.0176134
"Taiwan","Reference","electricity","hydrogen","hydrogen cogen","2025",3.68359e-05
"Taiwan","Reference","electricity","nuclear","Gen_III","2025",0.00824031
"Taiwan","Reference","electricity","nuclear","Gen_II_LWR","2025",0.115633
"Taiwan","Reference","electricity","refined liquids","refined liquids (CC CCS)","2025",0.00421353
"Taiwan","Reference","electricity","refined liquids","refined liquids (CC)","2025",0.00380729
"Taiwan","Reference","electricity","refined liquids","refined liquids (steam/CT)","2025",0.0205385
"Taiwan","Reference","electricity","refined liquids","refined liquids cogen","2025",0.00274024
"Taiwan","Reference","elect_td_bld","rooftop_pv","rooftop_pv","2025",0.00632902
"Taiwan","Reference","electricity","solar","CSP","2025",0.000101323
"Taiwan","Reference","electricity","solar","CSP_storage","2025",0.000593609
"Taiwan","Reference","electricity","solar","PV","2025",0.02149923
"Taiwan","Reference","electricity","solar","PV_storage","2025",9.19789e-06
"Taiwan","Reference","electricity","wind","wind","2025",0.03270045
"Taiwan","Reference","electricity","wind","wind_offshore","2025",0.0002951487
"Taiwan","Reference","electricity","wind","wind_storage","2025",5.91496e-05
"China","Reference","electricity","biomass","biomass (IGCC CCS)","2030",0.00269878
"China","Reference","electricity","biomass","biomass (IGCC)","2030",0.0321605
"China","Reference","electricity","biomass","biomass (conv CCS)","2030",0.00270253
"China","Reference","electricity","biomass","biomass (conv)","2030",0.242192
"China","Reference","electricity","coal","coal (IGCC CCS)","2030",0.0198443
"China","Reference","electricity","coal","coal (IGCC)","2030",1.23345
"China","Reference","electricity","coal","coal (conv pul CCS)","2030",0.035701
"China","Reference","electricity","coal","coal (conv pul)","2030",18.8138
"China","Reference","electricity","gas","gas (CC CCS)","2030",0.0571223
"China","Reference","electricity","gas","gas (CC)","2030",0.31377
"China","Reference","electricity","gas","gas (steam/CT)","2030",0.327156
"China","Reference","electricity","gas","gas cogen","2030",0.000619983
"China","Reference","electricity","geothermal","geothermal","2030",0.113036
"China","Reference","electricity","hydro","hydro","2030",4.01308
"China","Reference","electricity","hydrogen","hydrogen cogen","2030",0.00498144
"China","Reference","electricity","nuclear","Gen_III","2030",1.39545
"China","Reference","electricity","nuclear","Gen_II_LWR","2030",0.502676
"China","Reference","electricity","refined liquids","refined liquids (CC CCS)","2030",0.00606239
"China","Reference","electricity","refined liquids","refined liquids (CC)","2030",0.0053767
"China","Reference","electricity","refined liquids","refined liquids (steam/CT)","2030",0.00947063
"China","Reference","elect_td_bld","rooftop_pv","rooftop_pv","2030",1.54005
"China","Reference","electricity","solar","CSP","2030",0.000840806
"China","Reference","electricity","solar","CSP_storage","2030",0.00975063
"China","Reference","electricity","solar","PV","2030",1.943055
"China","Reference","electricity","solar","PV_storage","2030",0.00079614
"China","Reference","electricity","wind","wind","2030",2.548642
"China","Reference","electricity","wind","wind_offshore","2030",0.022257361
"China","Reference","electricity","wind","wind_storage","2030",0.006393223
"Taiwan","Reference","electricity","biomass","biomass (IGCC CCS)","2030",0.000126363
"Taiwan","Reference","electricity","biomass","biomass (IGCC)","2030",0.00210902
"Taiwan","Reference","electricity","biomass","biomass (conv CCS)","2030",9.88177e-05
"Taiwan","Reference","electricity","biomass","biomass (conv)","2030",0.016553
"Taiwan","Reference","electricity","coal","coal (IGCC CCS)","2030",0.000409927
"Taiwan","Reference","electricity","coal","coal (IGCC)","2030",0.0358053
"Taiwan","Reference","electricity","coal","coal (conv pul CCS)","2030",0.00064494
"Taiwan","Reference","electricity","coal","coal (conv pul)","2030",0.563494
"Taiwan","Reference","electricity","coal","coal cogen","2030",0.0551604
"Taiwan","Reference","electricity","gas","gas (CC CCS)","2030",0.00178021
"Taiwan","Reference","electricity","gas","gas (CC)","2030",0.459452
"Taiwan","Reference","electricity","gas","gas (steam/CT)","2030",0.0629527
"Taiwan","Reference","electricity","gas","gas cogen","2030",0.00119861
"Taiwan","Reference","electricity","geothermal","geothermal","2030",0.00309971
"Taiwan","Reference","electricity","hydro","hydro","2030",0.0183741
"Taiwan","Reference","electricity","hydrogen","hydrogen cogen","2030",6.0687e-05
"Taiwan","Reference","electricity","nuclear","Gen_III","2030",0.0126744
"Taiwan","Reference","electricity","nuclear","Gen_II_LWR","2030",0.107333
"Taiwan","Reference","electricity","refined liquids","refined liquids (CC CCS)","2030",0.00353615
"Taiwan","Reference","electricity","refined liquids","refined liquids (CC)","2030",0.00438775
"Taiwan","Reference","electricity","refined liquids","refined liquids (steam/CT)","2030",0.0170558
"Taiwan","Reference","electricity","refined liquids","refined liquids cogen","2030",0.00271152
"Taiwan","Reference","elect_td_bld","rooftop_pv","rooftop_pv","2030",0.0216958
"Taiwan","Reference","electricity","solar","CSP","2030",0.000227863
"Taiwan","Reference","electricity","solar","CSP_storage","2030",0.00191539
"Taiwan","Reference","electricity","solar","PV","2030",0.03707673
"Taiwan","Reference","electricity","solar","PV_storage","2030",1.491693e-05
"Taiwan","Reference","electricity","wind","wind","2030",0.04593515
"Taiwan","Reference","electricity","wind","wind_offshore","2030",0.0009454487
"Taiwan","Reference","electricity","wind","wind_storage","2030",0.0001182389
"China","Reference","electricity","biomass","biomass (IGCC CCS)","2035",0.00577784
"China","Reference","electricity","biomass","biomass (IGCC)","2035",0.0518253
"China","Reference","electricity","biomass","biomass (conv CCS)","2035",0.00581764
"China","Reference","electricity","biomass","biomass (conv)","2035",0.272944
"China","Reference","electricity","coal","coal (IGCC CCS)","2035",0.0391857
"China","Reference","electricity","coal","coal (IGCC)","2035",1.74893
"China","Reference","electricity","coal","coal (conv pul CCS)","2035",0.0620099
"China","Reference","electricity","coal","coal (conv pul)","2035",18.7255
"China","Reference","electricity","gas","gas (CC CCS)","2035",0.0894904
"China","Reference","electricity","gas","gas (CC)","2035",0.384921
"China","Reference","electricity","gas","gas (steam/CT)","2035",0.278445
"China","Reference","electricity","gas","gas cogen","2035",0.000627295
"China","Reference","electricity","geothermal","geothermal","2035",0.113021
"China","Reference","electricity","hydro","hydro","2035",4.01308
"China","Reference","electricity","hydrogen","hydrogen cogen","2035",0.00735013
"China","Reference","electricity","nuclear","Gen_III","2035",2.03981
"China","Reference","electricity","nuclear","Gen_II_LWR","2035",0.449482
"China","Reference","electricity","refined liquids","refined liquids (CC CCS)","2035",0.00663755
"China","Reference","electricity","refined liquids","refined liquids (CC)","2035",0.00651763
