region,scenario,sector,subsector,technology,year,cost
Taiwan,Reference,electricity,geothermal,geothermal,2005,7.54503
Taiwan,Reference,electricity,nuclear,Gen_III,2005,9.00177
Taiwan,Reference,electricity,nuclear,Gen_II_LWR,2005,9.0426
Taiwan,Reference,electricity,refined liquids,refined liquids (CC CCS),2005,4.77598
Taiwan,Reference,electricity,refined liquids,refined liquids (CC),2005,1.71515
Taiwan,Reference,electricity,refined liquids,refined liquids (steam/CT),2005,9.15005
Taiwan,Reference,electricity,solar,CSP,2005,15.235
Taiwan,Reference,electricity,solar,CSP_storage,2005,15.2705
Taiwan,Reference,electricity,solar,PV,2005,14.4447
Taiwan,Reference,electricity,solar,PV_storage,2005,44.6183
Taiwan,Reference,electricity,wind,wind,2005,7.0028
Taiwan,Reference,electricity,wind,wind_offshore,2005,14.9916
Taiwan,Reference,electricity,wind,wind_storage,2005,23.7812
China,Reference,elect_td_bld,rooftop_pv,rooftop_pv,2010,18.0938
China,Reference,electricity,biomass,biomass (IGCC CCS),2010,15.0767
China,Reference,electricity,biomass,biomass (IGCC),2010,10.6652
China,Reference,electricity,biomass,biomass (conv CCS),2010,11.9115
China,Reference,electricity,biomass,biomass (conv),2010,14.3925
China,Reference,electricity,coal,coal (IGCC CCS),2010,11.3378
China,Reference,electricity,coal,coal (IGCC),2010,6.78304
China,Reference,electricity,coal,coal (conv pul CCS),2010,9.62776
China,Reference,electricity,coal,coal (conv pul),2010,6.90035
China,Reference,electricity,gas,gas (CC CCS),2010,4.01141
China,Reference,electricity,gas,gas (CC),2010,1.71515
China,Reference,electricity,gas,gas (steam/CT),2010,7.93315
China,Reference,electricity,geothermal,geothermal,2010,8.38235
China,Reference,electricity,nuclear,Gen_III,2010,9.00177
China,Reference,electricity,nuclear,Gen_II_LWR,2010,9.51145
China,Reference,electricity,refined liquids,refined liquids (CC CCS),2010,4.77598
China,Reference,electricity,refined liquids,refined liquids (CC),2010,1.71515
China,Reference,electricity,refined liquids,refined liquids (steam/CT),2010,17.3744
China,Reference,electricity,solar,CSP,2010,24.8412
China,Reference,electricity,solar,CSP_storage,2010,19.7679
China,Reference,electricity,solar,PV,2010,12.0413
China,Reference,electricity,solar,PV_storage,2010,37.1922
China,Reference,electricity,wind,wind,2010,6.89617
China,Reference,electricity,wind,wind_offshore,2010,15.0109
China,Reference,electricity,wind,wind_storage,2010,22.0003
Taiwan,Reference,elect_td_bld,rooftop_pv,rooftop_pv,2010,21.8355
Taiwan,Reference,electricity,biomass,biomass (IGCC CCS),2010,15.0767
Taiwan,Reference,electricity,biomass,biomass (IGCC),2010,10.6652
Taiwan,Reference,electricity,biomass,biomass (conv CCS),2010,11.9115
Taiwan,Reference,electricity,biomass,biomass (conv),2010,14.2567
Taiwan,Reference,electricity,coal,coal (IGCC CCS),2010,11.3378
Taiwan,Reference,electricity,coal,coal (IGCC),2010,6.78304
Taiwan,Reference,electricity,coal,coal (conv pul CCS),2010,9.62776
Taiwan,Reference,electricity,coal,coal (conv pul),2010,7.45092
Taiwan,Reference,electricity,gas,gas (CC CCS),2010,4.01141
Taiwan,Reference,electricity,gas,gas (CC),2010,5.64896
Taiwan,Reference,electricity,gas,gas (steam/CT),2010,7.81867
Taiwan,Reference,electricity,geothermal,geothermal,2010,7.54503
Taiwan,Reference,electricity,nuclear,Gen_III,2010,9.00177
Taiwan,Reference,electricity,nuclear,Gen_II_LWR,2010,9.49118
Taiwan,Reference,electricity,refined liquids,refined liquids (CC CCS),2010,4.77598
Taiwan,Reference,electricity,refined liquids,refined liquids (CC),2010,1.71515
Taiwan,Reference,electricity,refined liquids,refined liquids (steam/CT),2010,15.6523
Taiwan,Reference,electricity,solar,CSP,2010,15.235
Taiwan,Reference,electricity,solar,CSP_storage,2010,15.2705
Taiwan,Reference,electricity,solar,PV,2010,14.4453
Taiwan,Reference,electricity,solar,PV_storage,2010,44.6183
Taiwan,Reference,electricity,wind,wind,2010,7.30882
Taiwan,Reference,electricity,wind,wind_offshore,2010,15.0051
Taiwan,Reference,electricity,wind,wind_storage,2010,24.0942
China,Reference,elect_td_bld,rooftop_pv,rooftop_pv,2015,18.0622
China,Reference,electricity,biomass,biomass (IGCC CCS),2015,15.0767
China,Reference,electricity,biomass,biomass (IGCC),2015,10.6652
China,Reference,electricity,biomass,biomass (conv CCS),2015,11.9115
China,Reference,electricity,biomass,biomass (conv),2015,14.519
China,Reference,electricity,coal,coal (IGCC CCS),2015,11.3378
China,Reference,electricity,coal,coal (IGCC),2015,6.78304
China,Reference,electricity,coal,coal (conv pul CCS),2015,9.62776
China,Reference,electricity,coal,coal (conv pul),2015,7.02773
China,Reference,electricity,gas,gas (CC CCS),2015,4.01141
China,Reference,electricity,gas,gas (CC),2015,6.27045
China,Reference,electricity,gas,gas (steam/CT),2015,7.57693
China,Reference,electricity,geothermal,geothermal,2015,8.38288
China,Reference,electricity,nuclear,Gen_III,2015,9.00177
